fecha,año,ruta,operador,tipo vuelo,tipo aeronave,total personas a bordo,pasajeros a bordo,tripulación a bordo,cantidad de fallecidos,pasajeros fallecidos,tripulación fallecida,fallecidos en tierra,total fallecidos
1908-09-17,1908,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,1,1,1,0,0,1
1909-09-07,1909,"Juvisy-sur-Orge, France",,Air show,Wright Byplane,1,0,1,1,0,0,0,1
1912-07-12,1912,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,0,5,5,0,5,0,5
1913-08-06,1913,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,1,0,1,1,0,1,0,1
1913-09-09,1913,Over the North Sea,Military - German Navy,,Zeppelin L-1 (airship),20,,,14,,,0,14
1913-10-17,1913,"Near Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),28,,,28,,,0,28
1915-03-05,1915,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),41,0,41,17,0,17,0,17
1915-09-03,1915,"Off Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),19,,,19,,,0,19
1916-07-28,1916,"Near Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),20,,,20,,,0,20
1916-09-24,1916,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),22,,,22,,,0,22
1916-10-01,1916,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),19,0,19,19,0,19,0,19
1916-11-21,1916,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),28,,,27,,,0,27
1916-11-28,1916,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),20,,,20,,,0,20
1917-03-04,1917,"Near Gent, Belgium",Military - German Army,,Airship,20,,,20,,,0,20
1917-03-30,1917,Off Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,,,23,,,0,23
1917-05-14,1917,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),21,,,21,,,0,21
1917-06-14,1917,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),24,,,24,,,0,24
1917-06-17,1917,"Near Yarmouth, England",,,Zepplin L-48 (air ship),16,,,14,,,0,14
1917-08-21,1917,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),18,,,18,,,0,18
1917-10-20,1917,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),18,,,18,,,0,18
1918-04-07,1918,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),23,,,23,,,0,23
1918-08-05,1918,"Off Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),22,,,22,,,0,22
1918-08-11,1918,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),19,,,19,,,0,19
1918-12-16,1918,"Elizabeth, New Jersey",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-05-25,1919,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-07-19,1919,"Dix Run, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-07-21,1919,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,,,,3,2,1,10,13
1919-08-02,1919,"Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,14,12,2,14,12,2,0,14
1919-10-02,1919,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-10-14,1919,"Cantonsville, Maryland",US Aerial Mail Service,,Curtiss R-4LM,1,0,1,1,0,1,0,1
1919-10-20,1919,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,,De Havilland DH-4,0,0,1,0,0,0,0,0
1919-10-30,1919,"Long Valley, New Jersey",US Aerial Mail Service,,De Havilland DH.4,1,0,1,1,0,1,0,1
1919-12-11,1919,"Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1,1,1,1,1,1,0,1
1920-03-10,1920,"New Paris, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-03-30,1920,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-04-10,1920,"Newark, New Jersey",US Aerial Mail Service,,Curtiss R-4LM,2,1,1,1,0,1,0,1
1920-04-11,1920,"Heller Field, New Jersey",US Aerial Mail Service,,Curtiss JN-4H,2,1,1,1,0,1,0,1
1920-05-12,1920,"Oskaloosa, Iowa",US Aerial Mail Service,,De Havilland DH-4,2,1,1,1,1,0,0,1
1920-06-06,1920,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-07-20,1920,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,,Farman F-40,1,1,1,1,1,1,0,1
1920-08-16,1920,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,1,0,1,1,0,1,0,1
1920-08-16,1920,"College Park, Maryland",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-09-01,1920,"Morristown, New Jersey",US Aerial Mail Service,,Junkers JL-6,2,0,2,2,0,2,0,2
1920-09-15,1920,"Pemberville, Ohio",US Aerial Mail Service,,Junkers F-13,2,,,2,,,0,2
1920-09-27,1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-10-02,1920,"Off Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,2,1,1,2,1,1,0,2
1920-10-05,1920,"Valencia, Spain",Latecoere Airlines,,Breguet 14,2,1,1,2,1,1,0,2
1920-10-15,1920,"Batavia, Illinois",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-11-07,1920,"Tie Siding, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-12-14,1920,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,8,6,2,4,2,2,0,4
1920-12-24,1920,"Barcelona, Spain",Aeropostale,,Breguet 14,1,0,1,1,0,1,0,1
1921-02-03,1921,"Mendotta, Minnisota",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1921-02-09,1921,"La Crosse, Wisconsin",US Aerial Mail Service,,Junkers F-13,3,0,3,3,0,3,0,3
